<<<<<<< HEAD
<<<<<<< HEAD
=======
>>>>>>> 04e55c86eefa8973ca24cd63a12741214c0ea3c5
id;type;atk_power;def_power;hp
1;Pikachow;125;10;600
2;Bulbu;50;50;1200
3;Zeze;300;10;100
4;Zuko;100;25;800
5;Chacha;80;30;700
<<<<<<< HEAD
=======
id;type;atk_power;def_power;hp
1;Pikachow;125;10;600
2;Bulbu;50;50;1200
3;Zeze;300;10;100
4;Zuko;100;25;800
5;Chacha;80;30;700
>>>>>>> 4b36beda6a826a2e5ce967108d9c3cc9683c362e
=======
6;Bulbasaur;90;20;700
7;Pokemon;20;50;200
8;Charizard;500;40;2000
9;Eve;30;10;50
10;Mewtwo;500;100;2000
>>>>>>> 04e55c86eefa8973ca24cd63a12741214c0ea3c5
